epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,10400.5,0.85654,0.77481,1.25205,0.9103,0.93532,0.94459,0.70304,0.93875,0.53777,1.39992,0.000118825,0.000118825,0.000118825
55,10673.4,0.857,0.78105,1.24775,0.89967,0.93288,0.94473,0.70685,0.9439,0.54487,1.41152,0.00011635,0.00011635,0.00011635
56,10910.2,0.84209,0.75787,1.24523,0.89252,0.9307,0.94405,0.70718,0.93791,0.54824,1.40522,0.000113875,0.000113875,0.000113875
57,11106.4,0.83645,0.7548,1.23318,0.89335,0.93346,0.94218,0.71195,0.92246,0.54214,1.39247,0.0001114,0.0001114,0.0001114
58,11273.8,0.83068,0.7243,1.23497,0.91613,0.93502,0.9461,0.71051,0.92795,0.52023,1.39429,0.000108925,0.000108925,0.000108925
59,11458.9,0.82808,0.73791,1.2355,0.90148,0.93032,0.94076,0.70215,0.94616,0.53975,1.4107,0.00010645,0.00010645,0.00010645
60,11628.5,0.83303,0.72453,1.23038,0.9177,0.93258,0.94281,0.70959,0.93047,0.52615,1.40434,0.000103975,0.000103975,0.000103975
61,11808.5,0.82819,0.71772,1.23553,0.91463,0.93533,0.94331,0.70528,0.93862,0.52378,1.40759,0.0001015,0.0001015,0.0001015
62,11992.6,0.83279,0.72674,1.22328,0.90992,0.93783,0.94232,0.71514,0.92334,0.51321,1.39193,9.9025e-05,9.9025e-05,9.9025e-05
63,12170.2,0.82106,0.69896,1.23089,0.92176,0.92697,0.94527,0.71479,0.93352,0.51238,1.39838,9.655e-05,9.655e-05,9.655e-05
64,12507,0.82293,0.70177,1.23153,0.92284,0.93425,0.94415,0.70973,0.92696,0.51374,1.38842,9.4075e-05,9.4075e-05,9.4075e-05
65,12817.5,0.81116,0.68835,1.21656,0.91608,0.9438,0.94929,0.71907,0.93003,0.50894,1.39959,9.16e-05,9.16e-05,9.16e-05
66,13169.8,0.80866,0.70229,1.21826,0.92177,0.94332,0.94766,0.71577,0.93197,0.50749,1.39557,8.9125e-05,8.9125e-05,8.9125e-05
67,13496.3,0.82133,0.70347,1.21918,0.91454,0.94089,0.94248,0.71177,0.9161,0.5208,1.38249,8.665e-05,8.665e-05,8.665e-05
68,13908.3,0.81128,0.69888,1.22157,0.92414,0.93001,0.94155,0.71154,0.92274,0.51654,1.38959,8.4175e-05,8.4175e-05,8.4175e-05
69,14309.4,0.79992,0.67336,1.20217,0.92364,0.92905,0.94276,0.70928,0.94378,0.5158,1.4127,8.17e-05,8.17e-05,8.17e-05
70,14731.6,0.80311,0.68265,1.21826,0.92547,0.93619,0.94655,0.71168,0.92992,0.50629,1.39943,7.9225e-05,7.9225e-05,7.9225e-05
71,15220.3,0.80356,0.68084,1.21255,0.92722,0.93135,0.94648,0.7106,0.92649,0.51204,1.40196,7.675e-05,7.675e-05,7.675e-05
72,15628.7,0.80293,0.68412,1.21822,0.92192,0.93956,0.94744,0.71178,0.92323,0.5013,1.40207,7.4275e-05,7.4275e-05,7.4275e-05
73,16031.6,0.79437,0.6616,1.20983,0.92281,0.94285,0.94707,0.71577,0.93243,0.50532,1.39932,7.18e-05,7.18e-05,7.18e-05
74,16439.9,0.79443,0.67005,1.2081,0.92044,0.93864,0.94652,0.71309,0.92766,0.5097,1.39616,6.9325e-05,6.9325e-05,6.9325e-05
75,16572.1,0.78932,0.66328,1.20782,0.9233,0.9534,0.95013,0.71447,0.92698,0.49906,1.39361,6.685e-05,6.685e-05,6.685e-05
76,16703.8,0.78474,0.64733,1.20357,0.92628,0.93648,0.95105,0.71667,0.92944,0.50315,1.39675,6.4375e-05,6.4375e-05,6.4375e-05
